关键词,编码,品目名称
其他散射通信设备,A02080399,其他散射通信设备
卫星通信设备,A02080400,卫星通信设备
地面站天线设备,A02080401,地面站天线设备
上行线通信设备,A02080402,上行线通信设备
下行线通信设备,A02080403,下行线通信设备
通信卫星配套设备,A02080404,通信卫星配套设备
卫星电视转播设备,A02080405,卫星电视转播设备
气象卫星地面发布站设备,A02080406,气象卫星地面发布站设备
气象卫星地面接收站设备,A02080407,气象卫星地面接收站设备
气象卫星地面数据收集站设备,A02080408,气象卫星地面数据收集站设备
卫星电话,A02080409,卫星电话
其他卫星通信设备,A02080499,其他卫星通信设备
光通信设备,A02080500,光通信设备
光缆通信终端设备,A02080501,光缆通信终端设备
光通信中继设备,A02080502,光通信中继设备
光通信复用设备,A02080503,光通信复用设备
光通信配套设备,A02080504,光通信配套设备
光纤放大器,A02080505,光纤放大器
合波器,A02080506,合波器
分波器,A02080507,分波器
光纤色散补偿装置,A02080508,光纤色散补偿装置
无纤光通信设备,A02080509,无纤光通信设备
脉冲编码调制终端设备,A02080510,脉冲编码调制终端设备
多业务传输送设备,A02080511,多业务传输送设备
光传送网设备,A02080512,光传送网设备
其他光通信设备,A02080599,其他光通信设备
载波通信系统设备,A02080600,载波通信系统设备
电缆载波通信设备,A02080601,电缆载波通信设备
电力线载波通信设备,A02080602,电力线载波通信设备
矿用及矿山采选用载波通信设备,A02080603,矿用及矿山采选用载波通信设备
微波通信用载波通信设备,A02080604,微波通信用载波通信设备
载波电报机及载波业务通信设备,A02080605,载波电报机及载波业务通信设备
其他载波通信系统设备,A02080699,其他载波通信系统设备
电话通信设备,A02080700,电话通信设备
普通电话机,A02080701,普通电话机
特种电话机,A02080702,特种电话机
移动电话,A02080703,移动电话
电话交换设备,A02080704,电话交换设备
会议电话调度设备及市话中继设备,A02080705,会议电话调度设备及市话中继设备
其他电话通信设备,A02080799,其他电话通信设备
视频会议系统设备,A02080800,视频会议系统设备
视频会议控制台,A02080801,视频会议控制台
视频会议多点控制器,A02080802,视频会议多点控制器
视频会议会议室终端,A02080803,视频会议会议室终端
音视频矩阵,A02080804,音视频矩阵
视频会议系统及会议室音频系统,A02080805,视频会议系统及会议室音频系统
其他视频会议系统设备,A02080899,其他视频会议系统设备
电报通信设备,A02080900,电报通信设备
收发报机,A02080901,收发报机
电传打字机,A02080902,电传打字机
凿孔设备,A02080903,凿孔设备
译码设备,A02080904,译码设备
人工用户电报交换设备,A02080905,人工用户电报交换设备
用户电报自动交换设备,A02080906,用户电报自动交换设备
智能电报终端设备,A02080907,智能电报终端设备
声校微机电报打印设备,A02080908,声校微机电报打印设备
数字电报通信设备,A02080909,数字电报通信设备
纠错设备,A02080910,纠错设备
转换设备,A02080911,转换设备
电报加密机,A02080912,电报加密机
无线电报接收设备,A02080913,无线电报接收设备
其他电报通信设备,A02080999,其他电报通信设备
传真通信设备,A02081000,传真通信设备
文件(图文)传真机,A02081001,文件(图文)传真机
其他传真通信设备,A02081099,其他传真通信设备
数据数字通信设备,A02081100,数据数字通信设备
数据调制、解调设备,A02081101,数据调制、解调设备
数传机,A02081102,数传机
数据复接交换设备,A02081103,数据复接交换设备
脉码调制终端设备,A02081104,脉码调制终端设备
增量调制终端设备,A02081105,增量调制终端设备
数字电话电报终端机,A02081106,数字电话电报终端机
数据、多媒体通信终端设备,A02081107,数据、多媒体通信终端设备
其他数据数字通信设备,A02081199,其他数据数字通信设备
微波接力通信设备,A02081200,微波接力通信设备
IP 与多媒体通信设备,A02081300,IP 与多媒体通信设备
通信配套设备,A02081400,通信配套设备
通信机房设备,A02081500,通信机房设备
发射天线,A02081601,发射天线
接收天线,A02081602,接收天线
其他天线,A02081699,其他天线
无线传输辅助设备,A02081700,无线传输辅助设备
铁塔无线传输设备,A02081701,铁塔无线传输设备
铁杆无线传输设备,A02081702,铁杆无线传输设备
水泥杆无线传输设备,A02081703,水泥杆无线传输设备
基站配套设备,A02081704,基站配套设备
其他无线传输辅助设备,A02081799,其他无线传输辅助设备
有线传输线路,A02081800,有线传输线路
管孔传输线路,A02081801,管孔传输线路
铁塔传输线路,A02081802,铁塔传输线路
铁杆传输线路,A02081803,铁杆传输线路
水泥杆传输线路,A02081804,水泥杆传输线路
木杆传输线路,A02081805,木杆传输线路
直埋传输线路,A02081806,直埋传输线路
其他有线传输线路,A02081899,其他有线传输线路
通信网络维护和管理系统,A02081900,通信网络维护和管理系统
通信设备零部件,A02082000,通信设备零部件
其他通信设备,A02089900,其他通信设备
广播、电视、电影设备,A02090000,广播、电视、电影设备
广播发射设备,A02090100,广播发射设备
中波广播发射机,A02090101,中波广播发射机
短波广播发射机,A02090102,短波广播发射机
调频广播发射机,A02090103,调频广播发射机
调频立体声广播发射机,A02090104,调频立体声广播发射机
调频广播差转台,A02090105,调频广播差转台
机动广播发射台,A02090106,机动广播发射台
数字音频广播发射机,A02090107,数字音频广播发射机
其他广播发射设备,A02090199,其他广播发射设备
电视发射设备,A02090200,电视发射设备
米波电视发射机,A02090201,米波电视发射机
分米波电视发射机,A02090202,分米波电视发射机
双伴音电视发射机,A02090203,双伴音电视发射机
电视差转机,A02090204,电视差转机
机动电视发射台,A02090205,机动电视发射台
数字广播电视发射机,A02090206,数字广播电视发射机
其他电视发射设备,A02090299,其他电视发射设备
广播和电视接收设备,A02090300,广播和电视接收设备
音频节目制作和播控设备,A02090400,音频节目制作和播控设备
广播录放音设备,A02090401,广播录放音设备
调音台,A02090402,调音台
监听机（机组）,A02090403,监听机（机组）
声处理设备,A02090404,声处理设备
收音设备,A02090405,收音设备
播控设备,A02090406,播控设备
其他音频节目制作和播控设备,A02090499,其他音频节目制作和播控设备
视频节目制作和播控设备,A02090500,视频节目制作和播控设备
电视录制及电视播出中心设备,A02090501,电视录制及电视播出中心设备
机动电视转播及电视播出采访设备,A02090502,机动电视转播及电视播出采访设备
录像编辑设备,A02090503,录像编辑设备
专业摄像机和信号源设备,A02090504,专业摄像机和信号源设备
视频信息处理设备,A02090505,视频信息处理设备
电视信号同步设备,A02090506,电视信号同步设备
电视图文创作系统设备,A02090507,电视图文创作系统设备
其他视频节目制作和播控设备,A02090599,其他视频节目制作和播控设备
多工广播设备,A02090600,多工广播设备
立体电视设备,A02090700,立体电视设备
卫星广播电视设备,A02090800,卫星广播电视设备
集体接收设备,A02090801,集体接收设备
上行站接收设备,A02090802,上行站接收设备
接收测试站设备,A02090803,接收测试站设备
普及型卫星广播电视接收附加装置,A02090804,普及型卫星广播电视接收附加装置
其他卫星广播电视设备,A02090899,其他卫星广播电视设备
电缆电视分配系统设备,A02090900,电缆电视分配系统设备
共用天线电视系统设备,A02090901,共用天线电视系统设备
单向电缆电视系统设备,A02090902,单向电缆电视系统设备
双向电缆电视系统设备,A02090903,双向电缆电视系统设备
光缆电视分配系统设备,A02090904,光缆电视分配系统设备
其他电缆电视分配系统设备,A02090999,其他电缆电视分配系统设备
电视设备,A02091000,电视设备
普通电视设备（电视机）,A02091001,普通电视设备（电视机）
特殊环境应用电视监视设备,A02091002,特殊环境应用电视监视设备
特殊功能应用电视设备,A02091003,特殊功能应用电视设备
特种成像应用电视设备,A02091004,特种成像应用电视设备
其他电视设备,A02091099,其他电视设备
视频设备,A02091100,视频设备
录像机,A02091101,录像机
通用摄像机,A02091102,通用摄像机
摄录一体机,A02091103,摄录一体机
平板显示设备,A02091104,平板显示设备
电视唱盘,A02091105,电视唱盘
激光视盘机,A02091106,激光视盘机
视频监控设备,A02091107,视频监控设备
视频处理器,A02091108,视频处理器
虚拟演播室设备,A02091109,虚拟演播室设备
字幕机,A02091110,字幕机
其他视频设备,A02091199,其他视频设备
音频设备,A02091200,音频设备
录放音机,A02091201,录放音机
收音机,A02091202,收音机
音频功率放大器设备（功放设备）,A02091203,音频功率放大器设备（功放设备）
电唱机,A02091204,电唱机
音响电视组合机,A02091205,音响电视组合机
话筒设备,A02091206,话筒设备
数码音频工作站及配套设备,A02091207,数码音频工作站及配套设备
声画编辑机,A02091208,声画编辑机
录音外围设备,A02091209,录音外围设备
扩音设备,A02091210,扩音设备
复读机,A02091212,复读机
语音语言实验室设备,A02091213,语音语言实验室设备
其他音频设备,A02091299,其他音频设备
组合音像设备,A02091300,组合音像设备
音视频播放设备,A02091301,音视频播放设备
闭路播放设备,A02091302,闭路播放设备
同声现场翻译设备及附属设备,A02091303,同声现场翻译设备及附属设备
会议、广播及音乐欣赏系统,A02091304,会议、广播及音乐欣赏系统
其他组合音像设备,A02091399,其他组合音像设备
播出设备,A02091400,播出设备
机械手播出设备,A02091401,机械手播出设备
硬盘播出设备,A02091402,硬盘播出设备
播出周边设备,A02091403,播出周边设备
其他播出设备,A02091499,其他播出设备
电影设备,A02091500,电影设备
传版设备,A02091501,传版设备
编辑、采访设备,A02091502,编辑、采访设备
压片加工设备,A02091503,压片加工设备
唱机生产设备,A02091504,唱机生产设备
盒式音带加工设备,A02091505,盒式音带加工设备
影视片制作、维护设备,A02091506,影视片制作、维护设备
其他电影设备,A02091599,其他电影设备
传声器、扬声器、耳塞机,A02091600,传声器、扬声器、耳塞机
无线寻呼机,A02091700,无线寻呼机
磁(纹)卡和集成电路卡,A02091800,磁(纹)卡和集成电路卡
广播、电视、电影设备零部件,A02091900,广播、电视、电影设备零部件
其他广播、电视、电影设备,A02099900,其他广播、电视、电影设备
仪器仪表,A02100000,仪器仪表
自动化仪表,A02100100,自动化仪表
温度仪表,A02100101,温度仪表
压力仪表,A02100102,压力仪表
流量仪表,A02100103,流量仪表
物位及机械量仪表,A02100104,物位及机械量仪表
显示及调节仪表,A02100105,显示及调节仪表
气动、电动单元组合仪表,A02100106,气动、电动单元组合仪表
基地式仪表,A02100107,基地式仪表
绘图仪,A02100108,绘图仪
集中控制装置,A02100109,集中控制装置
执行器,A02100110,执行器
自动成套控制系统,A02100111,自动成套控制系统
工业控制用计算机系统,A02100112,工业控制用计算机系统
其他自动化仪表,A02100199,其他自动化仪表
电工仪器仪表,A02100200,电工仪器仪表
电度表,A02100201,电度表
实验室电工仪器及指针式电表,A02100202,实验室电工仪器及指针式电表
数字电网监测表,A02100203,数字电网监测表
电阻测量仪器,A02100204,电阻测量仪器
记录电表、电磁示波器,A02100205,记录电表、电磁示波器
测磁仪器,A02100206,测磁仪器
扩大量程装置,A02100207,扩大量程装置
其他电工仪器仪表,A02100299,其他电工仪器仪表
光学仪器,A02100300,光学仪器
显微镜,A02100301,显微镜
光学计量仪器,A02100302,光学计量仪器
物理光学仪器,A02100303,物理光学仪器
光学测试仪器,A02100304,光学测试仪器
电子光学及离子光学仪器,A02100305,电子光学及离子光学仪器
